type,contextAware,rate_in_list,distance,duration,weather,rating,gender,age,mood,accepted
16,1,1,1048,149,1,4,0,19,5,1
0,1,0,1029,164,0,4.1,0,19,5,0
24,0,0,3243,331,0,2,0,15,5,1
32,1,5,1200,271,1,3.3,0,34,3,1
0,1,0,1191,208,1,3.2,0,34,4,0
14,1,1,667,137,1,4.1,0,34,1,0
0,1,2,1303,288,1,4.1,0,34,2,0
8,1,3,835,171,1,3.9,0,34,0,0
0,1,4,1088,199,1,3.8,0,34,0,0
0,1,4,532,91,1,4.1,0,43,4,1
0,1,0,2452,240,1,3.8,0,43,4,0
0,1,1,1719,224,1,4.1,0,43,4,0
8,1,2,2635,354,1,4.1,0,43,4,0
0,1,3,463,99,1,5,0,43,4,0
8,0,1,1846,249,1,5,0,32,6,1
18,0,0,1705,226,1,4.1,0,32,6,0
30,1,7,2816,227,0,5,0,18,4,1
21,1,0,4645,462,1,4.3,0,18,4,0
30,1,1,3580,422,1,4.1,0,18,4,0
0,1,2,4630,654,1,3.8,0,18,4,0
30,1,3,3464,351,1,4.4,0,18,4,0
26,1,4,5061,615,1,4.4,0,18,4,0
30,1,5,964,65,0,4,0,18,4,0
0,1,6,974,66,0,3.8,0,18,4,0
30,0,0,1800,292,1,4.1,1,16,6,1
0,1,5,651,158,1,4.1,0,22,4,1
0,1,0,2646,469,0,5,0,22,4,0
0,1,1,1808,300,1,4,0,22,4,0
0,1,2,3119,560,1,4,0,22,4,0
0,1,3,794,137,1,4.1,0,22,4,0
29,1,4,628,181,1,4,0,22,4,0
0,1,8,2247,390,0,4,0,16,2,1
16,1,0,407,113,0,4.1,0,16,2,0
0,1,1,764,188,1,4.1,0,16,2,0
0,1,2,2433,441,1,3.8,0,16,2,0
29,1,3,1294,239,1,3.8,0,16,2,0
32,1,4,1283,305,1,2.8,0,16,2,0
0,1,5,1968,357,1,4.4,0,16,2,0
0,1,6,2039,410,1,5,0,16,2,0
0,1,7,1549,325,1,4.1,0,16,2,0
0,1,0,4726,1040,1,4.1,0,38,2,1
32,1,5,541,162,1,4,0,31,0,1
0,1,0,2208,350,1,3.2,0,31,0,0
0,1,1,708,180,1,4.3,0,31,0,0
0,1,2,800,198,1,4.1,0,31,0,0
8,1,3,1255,205,1,4.1,0,31,0,0
0,1,4,728,145,1,4.1,0,31,0,0
30,1,5,1360,207,1,4,0,23,0,1
30,1,0,860,186,1,4.4,0,23,5,0
8,1,1,868,131,1,4.3,0,23,0,0
0,1,2,3561,338,1,5,0,23,6,0
30,1,3,1026,90,1,3.8,0,23,4,0
32,1,4,1299,125,1,5,0,23,2,0
8,0,0,196,68,0,5,0,24,5,1
30,0,0,257,42,0,5,0,29,2,1
0,1,4,6489,901,1,4.1,1,17,2,1
0,1,0,610,78,1,5,1,17,2,0
32,1,1,277,33,1,4.1,1,17,2,0
0,1,2,6549,894,1,3,1,17,2,0
0,1,3,5232,603,1,3,1,17,2,0
8,0,0,1450,214,1,4.2,0,29,4,1
24,0,0,458,168,1,5,0,20,1,1
29,1,6,3685,429,0,4,0,31,6,1
0,1,0,407,99,1,3,0,31,6,0
29,1,1,2681,290,1,2,0,31,6,0
0,1,2,1092,237,1,3.2,0,31,6,0
0,1,3,3495,358,1,4,0,31,6,0
8,1,4,1263,307,1,4.1,0,31,6,0
0,1,5,1897,375,1,5,0,31,6,0
19,0,0,2033,541,1,5,0,23,0,1
29,0,0,2109,262,1,3.8,0,13,0,1
0,1,4,871,111,1,4.1,1,19,6,1
0,1,0,2332,226,1,3.4,1,19,6,0
0,1,1,1574,187,1,4.5,1,19,6,0
8,1,2,2330,281,1,4.2,1,19,6,0
0,1,3,1223,210,1,4.1,1,19,6,0
0,1,5,2045,397,1,4.1,1,28,2,1
0,1,0,2090,427,1,3.3,1,28,2,0
30,1,1,1511,273,1,4.5,1,28,2,0
0,1,2,0,0,1,3,1,28,2,0
0,1,3,3196,489,1,5,1,28,2,0
14,1,4,1616,311,1,5,1,28,2,0
0,1,5,2348,469,1,4.1,0,15,4,1
0,1,0,2369,393,1,2,0,15,4,0
0,1,1,1235,225,1,4.3,0,15,4,0
0,1,2,2411,427,1,5,0,15,4,0
0,1,3,1868,304,1,5,0,15,4,0
0,1,4,1488,354,1,1,0,15,4,0
29,1,6,1847,401,1,4.6,0,19,2,1
27,1,0,3527,512,0,4.1,0,19,2,0
8,1,1,2408,432,1,4.7,0,19,2,0
0,1,2,1210,266,1,4.1,0,19,2,0
0,1,3,1264,240,0,5,0,19,2,0
